"62","Minnesota Vikings","DST","MIN","22","13","13","8","16","BYE","11","1","11","13","11","7","5","7","8","6","5","5","9.5","162"
"63","Jake Bates","K","DET","8","10","2","6","BYE","19","8","12","6","12","12","8","12","11","6","10","11","8","9.5","161"
"64","Wil Lutz","K","DEN","11","6","16","5","13","5","18","4","4","2","9","22","11","BYE","8","12","6","8","9.4","160"
"65","J.K. Dobbins","RB","DEN","19.9","19.1","5.4","6.2","-","16.2","6.6","12.8","22.5","5.5","17.9","5.9","-","BYE","-","-","14.3","7.5","12.3","159.8"
"66","Tony Pollard","RB","TEN","15.4","10.2","2.9","16.8","BYE","14.8","6.5","11.7","15.4","6.3","2.9","18.9","4.8","12.4","8.5","6","-","6.2","10","159.7"
"67","Courtland Sutton","WR","DEN","3.8","2.6","6.8","12","3.2","11.3","0","9.1","16.3","13","7.8","21.7","10.2","BYE","9.2","5","11.5","15.8","9.4","159.3"
"68","Ladd McConkey","WR","LAC","9.9","2.6","4.4","12.7","BYE","4.3","4.6","23.1","6.4","5.2","12.3","8.3","11.7","-","11.8","8.7","21.4","11.5","9.9","158.9"
"69","Rico Dowdle","RB","CAR","3.2","5.9","5.6","12.1","17.4","5.5","-","-","16.7","5.6","3.4","7.8","18.3","14.1","14.9","5.1","8.8","14.4","9.9","158.8"
"70","George Kittle","TE","SF","4","13.6","-","10.5","12.4","17.8","9.2","18.8","BYE","11.7","-","14.2","0.7","15.1","6.1","10.6","11.2","2.7","10.6","158.6"
"71","Davante Adams","WR","LAR","5.9","17","4","-","-","BYE","3","5.4","15.1","3.1","7.2","-","12.6","16.9","33.8","12.8","4.7","14.8","11.2","156.3"
"72","Derek Carr","QB","FA","21.3","22.8","9","9.1","13.6","-","-","-","13.4","20.5","18.7","-","14.6","13","-","-","-","-","15.6","155.9"
"73","Jameson Williams","WR","DET","19.4","9.4","0.2","14","BYE","14.7","-0.4","-","-","5.3","18.6","6.8","4.6","8","9.7","21","19.5","3.4","10.3","154.2"
"74","Jaxon Smith-Njigba","WR","SEA","1.9","11.7","3.9","5.1","9.1","5.3","2.3","6.9","30","BYE","11.8","13.7","7.9","14.6","8.3","16","3.2","1.3","9","153"
"75","Trevor Lawrence","QB","JAC","11.3","13.3","10.4","14.8","22.2","18.1","15","24.3","21.6","-","-","BYE","1.2","-","-","-","-","-","15.2","152.2"
"76","Jerry Jeudy","WR","CLE","8.5","7.3","4.7","7.2","1.6","3.5","1.8","7.9","7.3","BYE","20.2","8.5","31.5","12.4","10.8","2","9.4","6.3","8.9","150.9"
"77","Garrett Wilson","WR","NYJ","6","6.2","9.3","2.1","16.1","16.7","8.1","11.3","21","4.1","1.8","BYE","4.1","11.4","11.6","5.4","10.6","5.1","8.9","150.9"
"78","Brock Bowers","TE","LV","5.8","9.8","4.1","3.1","15.7","7.1","9.3","5.8","10.5","BYE","18.3","3.8","20.2","5.2","3.5","9.9","7.6","11","8.9","150.7"
"79","A.J. Brown","WR","PHI","17.9","-","-","-","BYE","17.6","14.9","8.4","3.6","10.9","6.5","16.9","6.6","4.3","17","15.7","9.6","-","11.5","149.9"
"80","Jordan Addison","WR","MIN","3.5","-","-","19.9","3.6","BYE","6.6","2.2","11.1","2.9","12.1","22.2","5.4","31.3","6.3","9.5","12.9","0","10","149.5"
"81","Tee Higgins","WR","CIN","-","-","3.9","6","20.3","7.7","14.2","-","-","-","20.8","BYE","12.9","2.3","14.8","11.8","29.1","5.3","12.4","149.1"
"82","Rachaad White","RB","TB","10.6","2.3","3.5","8.4","6.6","-","23.1","10.7","9.5","13","BYE","10.7","7.8","22.9","12.1","4","3.4","0","9.3","148.6"
"83","Green Bay Packers","DST","GB","7","11","21","7","13","10","4","5","2","BYE","6","12","8","2","15","17","3","5","8.7","148"
"84","Tyler Bass","K","BUF","10","8","12","6","8","5","10","7","14","13","6","BYE","5","6","15","8","8","5","8.6","146"
"84","Pittsburgh Steelers","DST","PIT","12","13","9","2","11","13","8","15","BYE","5","9","7","15","10","7","2","-1","9","8.6","146"
"86","Daniel Carlson","K","LV","4","18","2","10","5","1","16","10","7","BYE","7","15","5","7","5","8","15","10","8.5","145"
"87","Zach Charbonnet","RB","SEA","10.1","12.9","22.7","5.4","3","3.5","0.9","8.4","3.3","BYE","0.5","2.2","10.1","31.3","12.6","1.3","7.6","9.1","8.5","144.9"
