"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"87","Joshua Karty","K","LAR","2","9","17","10","","","","","","","","","","","","","","","9.5","38"
"89","Zay Flowers","WR","BAL","21.1","7.9","1.3","7.4","","","","","","","","","","","","","","","9.4","37.7"
"90","Marcus Mariota","QB","WAS","0","-","20.3","17.2","","","","","","","","","","","","","","","12.5","37.5"
"91","D'Andre Swift","RB","CHI","6.5","10.9","7.8","12","","","","","","","","","","","","","","","9.3","37.2"
"92","Ka'imi Fairbairn","K","HOU","14","9","4","10","","","","","","","","","","","","","","","9.3","37"
"92","Nick Folk","K","NYJ","10","6","10","11","","","","","","","","","","","","","","","9.3","37"
"94","Tyquan Thornton","WR","KC","4.1","11.9","13.1","7.1","","","","","","","","","","","","","","","9.1","36.2"
"95","Mac Jones","QB","SF","-","21.8","14.3","-","","","","","","","","","","","","","","","18","36"
"95","Nico Collins","WR","HOU","2.5","11.2","14.4","7.9","","","","","","","","","","","","","","","9","36"
"95","Brandon McManus","K","GB","9","11","4","12","","","","","","","","","","","","","","","9","36"
"95","Cairo Santos","K","CHI","7","3","7","19","","","","","","","","","","","","","","","9","36"
"99","Dalton Kincaid","TE","BUF","10.8","3.7","12.6","8.8","","","","","","","","","","","","","","","9","35.9"
"100","Tony Pollard","RB","TEN","6.9","9.2","11.9","7.6","","","","","","","","","","","","","","","8.9","35.6"
"101","Detroit Lions","DST","DET","0","8","8","19","","","","","","","","","","","","","","","8.8","35"
"101","Chris Boswell","K","PIT","14","12","3","6","","","","","","","","","","","","","","","8.8","35"
"101","Philadelphia Eagles","DST","PHI","3","5","13","14","","","","","","","","","","","","","","","8.8","35"
"104","Tucker Kraft","TE","GB","7.9","18.4","2.9","5.6","","","","","","","","","","","","","","","8.7","34.8"
"105","Breece Hall","RB","NYJ","14.5","3.8","5.2","11.1","","","","","","","","","","","","","","","8.7","34.6"
"106","Alvin Kamara","RB","NO","11.7","10","5.6","7.2","","","","","","","","","","","","","","","8.6","34.5"
"107","Jake Browning","QB","CIN","-","20.7","7.9","5.4","","","","","","","","","","","","","","","11.3","34"
"107","Cameron Dicker","K","LAC","9","8","12","5","","","","","","","","","","","","","","","8.5","34"
"107","Indianapolis Colts","DST","IND","13","1","15","5","","","","","","","","","","","","","","","8.5","34"
"110","Jaylen Warren","RB","PIT","11.9","13.4","8.1","-","","","","","","","","","","","","","","","11.1","33.4"
"111","New England Patriots","DST","NE","7","13","2","11","","","","","","","","","","","","","","","8.3","33"
"111","Daniel Carlson","K","LV","11","12","4","6","","","","","","","","","","","","","","","8.3","33"
"111","Pittsburgh Steelers","DST","PIT","2","5","16","10","","","","","","","","","","","","","","","8.3","33"
"111","Denver Broncos","DST","DEN","14","0","9","10","","","","","","","","","","","","","","","8.3","33"
"115","Tyler Warren","TE","IND","7.9","7.9","3.8","13.3","","","","","","","","","","","","","","","8.2","32.9"
"115","Woody Marks","RB","HOU","0.3","5.1","3.6","23.9","","","","","","","","","","","","","","","8.2","32.9"
"117","Marvin Harrison Jr.","WR","ARI","13.1","2.7","4.4","12.6","","","","","","","","","","","","","","","8.2","32.8"
"118","Tyreek Hill","WR","MIA","4","10.9","10.9","6.7","","","","","","","","","","","","","","","8.1","32.5"
"119","Ricky Pearsall","WR","SF","10.8","5.2","11.7","4.6","","","","","","","","","","","","","","","8.1","32.3"
"120","Los Angeles Rams","DST","LAR","11","8","6","7","","","","","","","","","","","","","","","8","32"
"120","Houston Texans","DST","HOU","6","7","5","14","","","","","","","","","","","","","","","8","32"
"122","Joe Flacco","QB","CLE","14.2","9.8","4.7","3.3","","","","","","","","","","","","","","","8","31.9"
"123","Ja'Marr Chase","WR","CIN","2.6","22.5","3.9","2.3","","","","","","","","","","","","","","","7.8","31.3"
"124","Khalil Shakir","WR","BUF","6.4","1.2","10.5","12.9","","","","","","","","","","","","","","","7.8","31"
"125","Drake London","WR","ATL","5.5","2.9","5.5","17","","","","","","","","","","","","","","","7.7","30.9"
"126","Cam Ward","QB","TEN","2.5","9.8","13","5.5","","","","","","","","","","","","","","","7.7","30.8"
"127","Jacory Croskey-Merritt","RB","WAS","14.2","1.7","9.1","5.7","","","","","","","","","","","","","","","7.7","30.7"
"128","Jaylen Waddle","WR","MIA","3","12.8","9.9","4.8","","","","","","","","","","","","","","","7.6","30.5"
"129","Jake Elliott","K","PHI","8","12","3","7","","","","","","","","","","","","","","","7.5","30"
"130","Wan'Dale Robinson","WR","NYG","5.5","20.2","2.6","1.4","","","","","","","","","","","","","","","7.4","29.7"
"131","Justice Hill","RB","BAL","-1.1","2.5","4.5","23.7","","","","","","","","","","","","","","","7.4","29.6"
"132","Trey McBride","TE","ARI","6.1","7.8","10.3","5.2","","","","","","","","","","","","","","","7.4","29.4"
